"SPECIES","BIN","LOWER","UPPER","MIDPOINT","MINIMUM"
"TANNER","[4.3,4.325)",2.2,2.5,4.3125,2.44437508329713
"TANNER","[4.325,4.35)",2.3,2.6,4.3375,2.52287633594592
"TANNER","[4.35,4.375)",2.3,2.6,4.3625,2.53153830660136
"TANNER","[4.375,4.4)",2.3,2.6,4.3875,2.53156036274938
"TANNER","[4.4,4.425)",2.4,2.7,4.4125,2.60235373452563
"TANNER","[4.425,4.45)",2.4,2.7,4.4375,2.6010598933265
"TANNER","[4.45,4.475)",2.5,2.8,4.4625,2.60534676132592
"TANNER","[4.475,4.5)",2.5,2.8,4.4875,2.64665805917077
"TANNER","[4.5,4.525)",2.6,2.9,4.5125,2.68279960931684
"TANNER","[4.525,4.55)",2.6,2.9,4.5375,2.70850501505924
"TANNER","[4.55,4.575)",2.6,2.9,4.5625,2.74847286992851
"TANNER","[4.575,4.6)",2.7,3,4.5875,2.78260762088999
"TANNER","[4.6,4.625)",2.7,3,4.6125,2.81316241922041
"TANNER","[4.625,4.65)",2.7,3,4.6375,2.854098330434
"TANNER","[4.65,4.675)",2.8,3.1,4.6625,2.89366444611671
"TANNER","[4.675,4.7)",2.8,3.1,4.6875,2.90969856412699
"TANNER","[4.7,4.725)",2.8,3.1,4.7125,2.94738149475353
"TANNER","[4.725,4.75)",2.9,3.2,4.7375,2.97123813824886
"TANNER","[4.75,4.775)",2.9,3.2,4.7625,3.00212082182041
"TANNER","[4.775,4.8)",3,3.3,4.7875,3.04899449015758
"TANNER","[4.8,4.825)",3,3.3,4.8125,3.06118334058608
"TANNER","[4.825,4.85)",3,3.3,4.8375,3.08771103193296
"TANNER","[4.85,4.875)",3,3.3,4.8625,3.14490091894909
"TANNER","[4.875,4.9)",3.1,3.4,4.8875,3.17052401387804
"TANNER","[4.9,4.925)",3.2,3.5,4.9125,3.2555710644643
"TANNER","[4.925,4.95)",3.2,3.5,4.9375,3.2250921038342
"SNOW","[3.9,3.925)",2,2.2,3.9125,2.19992074590151
"SNOW","[3.925,3.95)",2.1,2.3,3.9375,2.29992684034053
"SNOW","[3.95,3.975)",2.1,2.3,3.9625,2.29995010360473
"SNOW","[3.975,4)",2.2,2.4,3.9875,2.34890736491639
"SNOW","[4,4.025)",2.2,2.4,4.0125,2.3803953800376
"SNOW","[4.025,4.05)",2.2,2.4,4.0375,2.39992213175187
"SNOW","[4.05,4.075)",2.3,2.5,4.0625,2.41361310998158
"SNOW","[4.075,4.1)",2.3,2.5,4.0875,2.44513436153515
"SNOW","[4.1,4.125)",2.3,2.5,4.1125,2.48570708058245
"SNOW","[4.125,4.15)",2.3,2.5,4.1375,2.49727945485612
"SNOW","[4.15,4.175)",2.4,2.6,4.1625,2.55194763667976
"SNOW","[4.175,4.2)",2.4,2.6,4.1875,2.56516830318361
"SNOW","[4.2,4.225)",2.5,2.7,4.2125,2.58734839761776
"SNOW","[4.225,4.25)",2.5,2.7,4.2375,2.62683834747639
"SNOW","[4.25,4.275)",2.5,2.7,4.2625,2.6480933522016
"SNOW","[4.275,4.3)",2.6,2.8,4.2875,2.65985394119945
"SNOW","[4.3,4.325)",2.6,2.8,4.3125,2.70073367009788
"SNOW","[4.325,4.35)",2.6,2.8,4.3375,2.73046153122519
"SNOW","[4.35,4.375)",2.6,2.8,4.3625,2.76853285781235
"SNOW","[4.375,4.4)",2.7,2.9,4.3875,2.79498750146791
"SNOW","[4.4,4.425)",2.7,2.9,4.4125,2.83372723263085
"SNOW","[4.425,4.45)",2.7,2.9,4.4375,2.86848227177411
"SNOW","[4.45,4.475)",2.8,3,4.4625,2.89937142550795
"SNOW","[4.475,4.5)",2.8,3,4.4875,2.93037926728409
"SNOW","[4.5,4.525)",2.8,3,4.5125,2.95481140470008
"SNOW","[4.525,4.55)",2.9,3.1,4.5375,2.98428835959335
"SNOW","[4.55,4.575)",2.9,3.1,4.5625,3.00686042616571
"SNOW","[4.575,4.6)",2.9,3.1,4.5875,3.0339422081589
